CID,SN_RA,SN_DEC,HOSTGAL_RA,HOSTGAL_DEC,REDSHIFT_SPEC,HELP_ID,HELP_RA,HELP_DEC,F_MIPS_24,FErr_MIPS_24_average,F_SPIRE_250,FErr_SPIRE_250_average,F_SPIRE_350,FErr_SPIRE_350_average,F_SPIRE_500,FErr_SPIRE_500_average,F_PACS_100,FErr_PACS_100_average,F_PACS_160,FErr_PACS_160_average,ID_SE,RA_SE,DEC_SE,FLUX_AUTO_VISTA_Ks_µJy,FLUX_AUTO_VISTA_Y_µJy,FLUX_AUTO_VISTA_J_µJy,FLUX_AUTO_VISTA_H_µJy,FLUX_AUTO_VOICE_u_µJy,FLUX_AUTO_VOICE_g_µJy,FLUX_AUTO_VOICE_r_µJy,FLUX_AUTO_VOICE_i_µJy,FLUX_AUTO_HSC_G_µJy,FLUX_AUTO_HSC_R_µJy,FLUX_AUTO_HSC_I_µJy,FLUX_AUTO_HSC_Z_µJy,FLUXERR_AUTO_VISTA_Ks_µJy,FLUXERR_AUTO_VISTA_Y_µJy,FLUXERR_AUTO_VISTA_J_µJy,FLUXERR_AUTO_VISTA_H_µJy,FLUXERR_AUTO_VOICE_u_µJy,FLUXERR_AUTO_VOICE_g_µJy,FLUXERR_AUTO_VOICE_r_µJy,FLUXERR_AUTO_VOICE_i_µJy,FLUXERR_AUTO_HSC_G_µJy,FLUXERR_AUTO_HSC_R_µJy,FLUXERR_AUTO_HSC_I_µJy,FLUXERR_AUTO_HSC_Z_µJy,SERVS_ID,SERVS_RA_ch1,SERVS_DEC_ch1,FLUX_AUTO_ch1,FLUXERR_AUTO_ch1,SERVS_RA_ch2,SERVS_DEC_ch2,FLUX_AUTO_ch2,FLUXERR_AUTO_ch2
1370441,53.389828,-28.383074,53.389379,-28.383229,0.93733,HELP_J033333.460-282259.777,53.389415408123995,-28.38327127382167,180.9009,12.536794999999998,2700.4085,2124.529,1669.3134,1715.5900749999998,1820.1194,1996.972035,19924.219999999998,16086.148700000003,13006.516,11888.138400000002,581369.0,53.389433753155195,-28.383274480242164,29.813021960996895,10.85535423393875,15.980148102618651,20.624983035243904,1.0523979659007292,1.004649101102774,2.0333343619937287,4.470033727473209,1.1248090449735708,2.0657378164344613,4.82672771364276,8.49997405319486,0.2968723165805764,0.0693792275712625,0.1247229795161895,0.1953861049117971,0.1534935756566222,0.0851242897313087,0.0618022447983702,0.1574918061453976,0.0346237768618925,0.1054622450473787,0.0852630200759988,0.1497201595299723,SERVS1_J033333.46-282259.7,53.389397,-28.383236,41.5,0.9,53.389395,-28.383276,30.0,0.7
1319653,53.468807,-27.335157,53.468742,-27.335153,0.59552,HELP_J033352.508-272006.669,53.46878144002285,-27.3351858259918,48.942974,13.604269000000002,397.97923000000003,449.03743000000003,1433.0767,1604.0513649999998,3999.838,4150.222849999999,7552.8336,8124.827,9587.766,10252.581800000002,1550001.0,53.46878622847667,-27.335160422675845,65.05981140239925,29.588081071452443,39.07228409174841,48.99349258662746,0.161366581980168,1.497706794444439,6.927810504958537,15.783961030403914,1.5265941717713325,6.084879748878314,17.43103600681701,24.330307622047556,0.3028082626459494,0.0717963589244766,0.1253216206545773,0.1988069191008994,0.1337953217976702,0.0662928694428367,0.0697168004011135,0.1970457370058574,0.0401043781753279,0.1062409236171713,0.0947331569528348,0.1808237319921539,SERVS1_J033352.49-272006.6,53.468733,-27.335165,56.6,0.8,53.4687,-27.335157,37.8,0.9
1936171,54.335171,-28.637129,54.335393,-28.637262,0.47336,HELP_J033720.500-283814.337,54.335418560022845,-28.6373159259918,210.34483,17.533240000000006,11010.600999999999,3603.5115,5766.5353000000005,4027.4048999999995,3312.0153,3219.9286,25742.75,18126.331000000002,13714.102,13175.530599999998,338503.0,54.33542579907822,-28.637335619731797,228.19115155174097,108.21483460302892,137.13111271698682,185.82014729714805,0.1397401483592128,0.09805740593612,0.6456518503609512,,11.837892722915312,,61.250268946006315,86.83059959799313,0.4949546724034087,0.1149552363508424,0.2065417324216361,0.3220364911605218,,,,,0.1504881154457217,,0.3122140898160211,0.4617646138775894,SERVS1_J033720.50-283814.3,54.335423,-28.637301,142.7,0.7,54.335398,-28.637314,110.8,0.8
1280780,53.071171,-28.840307,53.071215,-28.840327,0.68399,HELP_J033217.092-285025.251,53.071217607878914,-28.840347368099945,7.555428,7.4101516,,,,,,,,,,,206976.0,53.071240663304394,-28.84035613196152,18.530502651980857,9.322628967000233,10.89545070173066,14.93710383514981,,0.3843566504631903,1.811945788900603,3.9315879923652295,0.5401415669685226,0.4107606193304704,4.439315385305702,5.929695606869105,0.3168000990189215,0.0762311031783573,0.1245667543193443,0.1880445610572292,,0.0674867344678807,0.053281807784313,0.1325510878364731,0.0491212101542989,,0.1266454539427309,0.2393117380258856,SERVS1_J033217.11-285025.3,53.071309,-28.840322,16.3,0.5,53.071313,-28.84042,12.4,0.7
1335717,52.859905,-28.353096,52.860221,-28.353428,0.30477,HELP_J033126.462-282112.349,52.86025909002285,-28.3534302859918,45.290466,10.638559,1969.4681,1325.2638000000002,2288.5916,1799.5861700000003,3388.4842000000003,2994.4539499999996,11946.095,11366.9773,12774.507,11838.6136,609320.0,52.860277362166606,-28.353480329105352,43.58726310323112,28.582433385890837,31.857434583983544,36.01946019618182,3.591669775297012,8.41529994370817,16.6288417375235,21.379187689523235,7.860634443359179,16.13566244717369,20.07479874226777,25.917887474891863,0.4107563314019233,0.0924036861885768,0.1511396636771713,0.2603901840301831,0.2067767681069647,0.1136030244635793,0.0882940763328175,0.2156543650582777,0.0475729519733739,0.1462822533932954,0.1153324275645187,0.2155548206875791,SERVS1_J033126.46-282112.7,52.860259,-28.353532,20.7,0.8,52.860262,-28.353514,16.3,0.7
1257602,52.94643,-27.546074,52.94678,-27.546216,0.52211,HELP_J033147.244-273246.579,52.94685088044679,-27.54627196805812,27.49935,8.977918,5276.1230000000005,2649.6742999999997,10967.903,3265.4462499999995,19626.62,6159.238,23592.645999999997,17742.4145,21114.456000000002,16915.970999999998,1362053.0,52.94680470627056,-27.5462830763051,2.5935964317150795,2.8511968332664837,2.9043837619147497,3.033536326683933,0.6536739831891943,0.787966946205197,1.5535069481406378,1.977692652251314,0.8504171307411973,1.686747208159325,1.9421608706435125,2.174214561282225,0.1545699918099221,0.0371106148488059,0.0702983061891404,0.1130629489511915,0.0868626571480517,0.0403104459792999,0.0436857184424684,0.1213413602878104,0.0232266089476009,0.0650336581395528,0.0554812817807868,0.112390899074753,SERVS1_J033147.21-273246.7,52.946671,-27.546313,1.0,0.9,,,,
1598039,53.091919,-28.32674,53.092229,-28.326656,0.62292,HELP_J033222.137-281936.195,53.09223880352378,-28.326720716591105,13.732301,9.0469635,,,,,,,,,,,635736.0,53.09224400080996,-28.32670339415584,17.456742267182953,8.257899630528678,10.632270080356005,13.2528230694359,0.3636597199928744,1.0318182379573215,2.314849709981581,4.580566578602957,0.7801699168215244,2.3796922706612817,4.626907315923759,6.366313191839199,0.2939955335484153,0.0641548572773554,0.1063432845565138,0.1764449636066222,0.1527762687165487,0.0785334322982132,0.0635486202611737,0.1518229530495043,0.03036351824814,0.1062709573000485,0.0710214985019405,0.1342725372061901,SERVS1_J033222.14-281936.3,53.092224,-28.326763,14.2,0.5,53.092244,-28.326728,10.0,0.5
1581017,51.986,-27.793837,51.985746,-27.794318,0.83813,HELP_J032756.585-274739.762,51.985771710022846,-27.794378435991803,88.59221,14.097473,2903.8723,1878.0424,1926.9936,1677.3351499999999,1697.0382,1741.7288750000002,13267.293,12959.865300000001,11541.392,11154.891599999999,1121241.0,51.98576200423405,-27.794388406830404,52.18340335662872,20.51704448075635,27.208362179468345,37.48504184581824,0.222377682532811,,2.7169897498743407,7.011852955599422,0.3950237431924074,1.7094736069966407,7.879219513384916,14.735375248689502,0.3458537390274981,0.0834554100595861,0.1572575255567846,0.2400387526826436,0.1546440709466308,,0.0747241257798295,0.2763760235501591,0.0608995622998444,,0.1100053602196987,0.2557666405906888,SERVS1_J032756.58-274739.8,51.985759,-27.794381,59.5,0.9,51.985757,-27.794407,38.3,0.9
1293832,52.388741,-27.570766,52.388418,-27.571123,0.81325,HELP_J032933.233-273416.314,52.38846875002285,-27.5711983159918,437.89523,16.333895000000012,14284.72,1618.7115000000001,8972.397,2539.1130000000003,2743.7637,2535.2586499999998,15522.833999999999,14733.787800000002,34651.03,20554.2025,1334700.0,52.38843857792427,-27.571182790246283,67.00944176846366,30.489282198499144,41.218482618807464,48.55174013492516,2.547151636137863,4.26608593967384,8.416323108557256,15.335855224249304,4.246481144083046,8.068923536808299,17.543684155548572,25.039404727945765,0.3334042007731511,0.0771115265649564,0.146441837915199,0.2203504061801645,0.1218148736746491,0.0892481586823117,0.0756670160927001,0.2678412367083148,0.0490196740509688,0.1345139678285305,0.1248952723254742,0.2038089303690013,SERVS1_J032933.21-273416.2,52.388376,-27.571132,81.5,1.0,52.38839,-27.571217,52.5,0.7
1326367,53.73613,-27.140719,53.736694,-27.140878,0.55797,HELP_J033456.816-270827.143,53.736733470022855,-27.1408730059918,96.20621,13.134108000000005,15174.246000000001,1828.7015,8409.09,2286.4136499999995,2215.634,1743.0440199999998,17664.256999999998,13708.950850000001,6624.9113,7272.10545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
